Timestamp_s,Voltage_V,Raw_ADC,Rolling_Variance
0.000021,0.996774,309,0.00000000
0.001021,0.993548,308,0.00000260
0.002021,1.022581,317,0.00016881
0.003021,1.016129,315,0.00015284
0.004021,0.983871,305,0.00020978
0.005021,0.980645,304,0.00024165
0.006021,0.983871,305,0.00023487
0.007021,1.003226,311,0.00021007
0.008021,1.019355,316,0.00023355
0.009021,1.009677,313,0.00021863
0.010021,0.990323,307,0.00020812
0.011021,0.987097,306,0.00020349
0.012021,0.970968,301,0.00024334
0.013021,0.990323,307,0.00022872
0.014021,0.996774,309,0.00021348
0.015021,1.006452,312,0.00020612
0.016021,0.983871,305,0.00020351
0.017021,0.987097,306,0.00019655
0.018021,0.987097,306,0.00018990
0.019021,0.990323,307,0.00018156
0.020088,1.003226,311,0.00017598
0.021088,1.000000,310,0.00016890
0.022088,1.003226,311,0.00016398
0.023088,1.009677,313,0.00016469
0.024088,1.003226,311,0.00015983
0.025088,0.974194,302,0.00017254
0.026088,0.987097,306,0.00016892
0.027088,0.977419,303,0.00017424
0.028088,0.993548,308,0.00016830
0.029088,1.016129,315,0.00017723
0.030088,1.019355,316,0.00018915
0.031088,0.987097,306,0.00018583
0.032088,0.983871,305,0.00018457
0.033088,0.983871,305,0.00018314
0.034088,0.993548,308,0.00017799
0.035088,1.012903,314,0.00018142
0.036088,1.016129,315,0.00018740
0.037088,0.980645,304,0.00018877
0.038088,0.977419,303,0.00019249
0.039088,0.987097,306,0.00018938
0.040167,1.009677,313,0.00018972
0.041167,1.006452,312,0.00018794
0.042167,1.006452,312,0.00018612
0.043167,1.009677,313,0.00018599
0.044167,1.012903,314,0.00018777
0.045167,0.987097,306,0.00018568
0.046167,0.980645,304,0.00018700
0.047167,0.980645,304,0.00018806
0.048167,0.980645,304,0.00018887
0.049167,1.000000,310,0.00018548
0.050167,1.003226,311,0.00018294
0.051167,1.003226,311,0.00018045
0.052167,0.987097,306,0.00017850
0.053167,0.980645,304,0.00017937
0.054167,0.974194,302,0.00018423
0.055167,0.996774,309,0.00018099
0.056167,1.009677,313,0.00018144
0.057167,0.996774,309,0.00017835
0.058167,0.983871,305,0.00017755
0.059167,0.993548,308,0.00017464
0.060236,1.006452,312,0.00017381
0.061236,0.993548,308,0.00017107
0.062236,1.009677,313,0.00017155
0.063236,0.980645,304,0.00017231
0.064236,1.003226,311,0.00017059
0.065236,1.016129,315,0.00017437
0.066236,0.996774,309,0.00017178
0.067236,0.987097,306,0.00017035
0.068236,0.993548,308,0.00016795
0.069236,0.993548,308,0.00016561
0.070236,0.993548,308,0.00016334
0.071236,1.003226,311,0.00016187
0.072236,0.983871,305,0.00016154
0.073236,0.987097,306,0.00016031
0.074236,0.980645,304,0.00016104
0.075236,0.980645,304,0.00016168
0.076236,1.003226,311,0.00016045
0.077236,1.019355,316,0.00016581
0.078236,1.000000,310,0.00016397
0.079236,0.977419,303,0.00016596
0.080302,1.012903,314,0.00016770
0.081302,1.006452,312,0.00016710
0.082302,1.003226,311,0.00016577
0.083302,0.996774,309,0.00016381
0.084302,0.993548,308,0.00016194
0.085302,0.996774,309,0.00016007
0.086302,1.006452,312,0.00015953
0.087302,0.974194,302,0.00016299
0.088302,0.983871,305,0.00016269
0.089302,0.990323,307,0.00016117
0.090302,0.983871,305,0.00016085
0.091302,0.993548,308,0.00015913
0.092302,1.003226,311,0.00015809
0.093302,0.987097,306,0.00015713
0.094302,0.983871,305,0.00015683
0.095302,0.980645,304,0.00015736
0.096302,0.987097,306,0.00015637
0.097302,1.003226,311,0.00015548
0.098302,0.996774,309,0.00015394
0.099302,0.983871,305,0.00015363
0.100367,1.009677,313,0.00015425
0.101367,1.029032,319,0.00016394
0.102367,1.000000,310,0.00016256
0.103367,0.980645,304,0.00016308
0.104367,0.987097,306,0.00016216
0.105367,0.983871,305,0.00016183
0.106367,0.993548,308,0.00016034
0.107367,1.012903,314,0.00016176
0.108367,0.990323,307,0.00016050
0.109367,0.983871,305,0.00016020
0.110367,1.003226,311,0.00015934
0.111367,0.983871,305,0.00015905
0.112367,1.000000,310,0.00015786
0.113367,1.009677,313,0.00015832
0.114367,0.987097,306,0.00015751
0.115367,0.987097,306,0.00015671
0.116367,0.990323,307,0.00015557
0.117367,0.980645,304,0.00015600
0.118367,1.006452,312,0.00015579
0.119367,1.019355,316,0.00015938
0.120433,1.000000,310,0.00015824
0.121433,1.012903,314,0.00015947
0.122433,1.022581,317,0.00016412
0.123433,0.990323,307,0.00016302
0.124433,0.983871,305,0.00016281
0.125433,0.977419,303,0.00016410
0.126433,0.983871,305,0.00016384
0.127433,1.000000,310,0.00016273
0.128433,1.019355,316,0.00016592
0.129433,0.980645,304,0.00016632
0.130433,0.983871,305,0.00016606
0.131433,0.987097,306,0.00016531
0.132433,0.993548,308,0.00016408
0.133433,1.019355,316,0.00016717
0.134433,1.016129,315,0.00016909
0.135433,0.980645,304,0.00016947
0.136433,0.983871,305,0.00016921
0.137433,0.987097,306,0.00016847
0.138433,0.990323,307,0.00016744
0.139433,1.006452,312,0.00016713
0.140496,0.983871,305,0.00016687
0.141496,0.996774,309,0.00016571
0.142496,1.016129,315,0.00016757
0.143496,1.000000,310,0.00016655
0.144496,0.987097,306,0.00016588
0.145496,0.987097,306,0.00016521
0.146496,0.970968,301,0.00016810
0.147496,0.983871,305,0.00016782
0.148496,1.012903,314,0.00016881
0.149496,0.996774,309,0.00016770
0.150496,0.983871,305,0.00016744
0.151496,0.990323,307,0.00016649
0.152496,0.974194,302,0.00016825
0.153496,1.000000,310,0.00016732
0.154496,1.016129,315,0.00016909
0.155496,1.009677,313,0.00016935
0.156496,0.974194,302,0.00017108
0.157496,0.977419,303,0.00017197
0.158496,0.961290,298,0.00017799
0.159496,0.980645,304,0.00017811
0.160565,0.993548,308,0.00017702
0.161565,0.987097,306,0.00017628
0.162565,1.003226,311,0.00017565
0.163565,1.009677,313,0.00017593
0.164565,1.000000,310,0.00017503
0.165565,0.977419,303,0.00017579
0.166565,0.980645,304,0.00017592
0.167565,0.980645,304,0.00017603
0.168565,1.006452,312,0.00017582
0.169565,1.019355,316,0.00017836
0.170565,1.009677,313,0.00017861
0.171565,0.987097,306,0.00017792
0.172565,0.977419,303,0.00017863
0.173565,0.977419,303,0.00017931
0.174565,0.993548,308,0.00017829
0.175565,1.009677,313,0.00017856
0.176565,1.000000,310,0.00017771
0.177565,0.967742,300,0.00018078
0.178565,0.977419,303,0.00018140
0.179565,0.974194,302,0.00018267
0.180629,0.980645,304,0.00018269
0.181629,0.990323,307,0.00018177
0.182629,0.987097,306,0.00018106
0.183629,1.003226,311,0.00018051
0.184629,1.009677,313,0.00018081
0.185629,0.996774,309,0.00017987
0.186629,0.987097,306,0.00017919
0.187629,0.993548,308,0.00017824
0.188629,0.980645,304,0.00017828
0.189629,0.996774,309,0.00017738
0.190629,1.012903,314,0.00017826
0.191629,0.983871,305,0.00017790
0.192629,0.980645,304,0.00017794
0.193629,0.987097,306,0.00017728
0.194629,0.980645,304,0.00017731
0.195629,1.003226,311,0.00017683
0.196629,1.006452,312,0.00017669
0.197629,1.000000,310,0.00017596
0.198629,0.974194,302,0.00017709
0.199629,0.977419,303,0.00017760
0.200695,0.983871,305,0.00017724
0.201695,0.974194,302,0.00017830
0.202695,0.990323,307,0.00017748
0.203695,1.000000,310,0.00017679
0.204695,1.009677,313,0.00017713
0.205695,1.022581,317,0.00018021
0.206695,0.977419,303,0.00018069
0.207695,0.977419,303,0.00018115
0.208695,0.983871,305,0.00018077
0.209695,0.987097,306,0.00018013
0.210695,1.012903,314,0.00018098
0.211695,1.025806,318,0.00018487
0.212695,0.980645,304,0.00018486
0.213695,0.987097,306,0.00018422
0.214695,0.993548,308,0.00018337
0.215695,0.983871,305,0.00018300
0.216695,0.990323,307,0.00018221
0.217695,1.006452,312,0.00018209
0.218695,0.970968,301,0.00018368
